H_householdCounter;H_hhlocid;H_comp;H_SEC;H_age;H_child;H_ncar;P_personCounter;P_age;P_twork;P_gend;P_isDriv;A_activityCounter;A_day;A_activityType;A_beginningTime;A_duration;A_location;J_duration;J_transportMode;J_distance
1322742;1945;5;4;2;3;2;2174162;2;2;2;1;8292634;1;0;300;335;-1;0;-1;-1
1322742;1945;5;4;2;3;2;2174162;2;2;2;1;8292635;1;1;856;523;2038;21;6;27.87
1322742;1945;5;4;2;3;2;2174162;2;2;2;1;8292636;1;0;1800;540;-1;21;6;27.87
1322742;1945;5;4;2;3;2;2174163;2;2;1;1;8292637;1;0;300;221;-1;0;-1;-1
1322742;1945;5;4;2;3;2;2174163;2;2;1;1;8292638;1;1;728;270;19;47;1;72.78
1322742;1945;5;4;2;3;2;2174163;2;2;1;1;8292639;1;10;1203;41;19;5;1;0
1322742;1945;5;4;2;3;2;2174163;2;2;1;1;8292640;1;1;1337;21;724;53;1;78.73
1322742;1945;5;4;2;3;2;2174163;2;2;1;1;8292641;1;0;1409;771;-1;11;1;9.71
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292642;1;0;300;376;-1;0;-1;-1
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292643;1;1;948;548;2362;32;1;56.85
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292644;1;4;1901;25;2362;5;1;0
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292645;1;3;1931;23;2362;5;1;0
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292646;1;8;2018;45;110;24;1;42.46
1322743;1945;1;3;2;1;1;2174164;2;2;1;1;8292647;1;0;2147;313;-1;44;1;59.73
1322744;1945;5;4;2;4;2;2174165;2;2;2;1;8292648;1;0;300;225;-1;0;-1;-1
1322744;1945;5;4;2;4;2;2174165;2;2;2;1;8292649;1;1;710;520;242;25;1;34.47
1322744;1945;5;4;2;4;2;2174165;2;2;2;1;8292650;1;3;1614;1;307;24;1;16.43
1322744;1945;5;4;2;4;2;2174165;2;2;2;1;8292651;1;0;1716;584;-1;61;1;48.52
1322744;1945;5;4;2;4;2;2174166;1;0;1;0;8292652;1;0;300;588;-1;0;-1;-1
1322744;1945;5;4;2;4;2;2174166;1;0;1;0;8292653;1;8;1301;49;885;13;1;14.7
1322744;1945;5;4;2;4;2;2174166;1;0;1;0;8292654;1;0;1403;777;-1;13;1;14.7
1322745;1945;5;2;1;2;1;2174167;1;2;2;1;8292655;1;0;300;270;-1;0;-1;-1
1322745;1945;5;2;1;2;1;2174167;1;2;2;1;8292656;1;1;815;678;56;45;1;66.41
1322745;1945;5;2;1;2;1;2174167;1;2;2;1;8292657;1;0;2018;402;-1;45;1;66.41
1322745;1945;5;2;1;2;1;2174168;1;2;1;1;8292658;1;0;300;409;-1;0;-1;-1
1322745;1945;5;2;1;2;1;2174168;1;2;1;1;8292659;1;10;1012;5;808;23;6;33.99
1322745;1945;5;2;1;2;1;2174168;1;2;1;1;8292660;1;4;1035;23;875;18;6;26.83
1322745;1945;5;2;1;2;1;2174168;1;2;1;1;8292661;1;0;1111;949;-1;13;6;15.31
1322746;1945;4;4;2;1;2;2174169;2;2;1;1;8292662;1;0;300;192;-1;0;-1;-1
1322746;1945;4;4;2;1;2;2174169;2;2;1;1;8292663;1;1;655;683;48;43;1;66.02
1322746;1945;4;4;2;1;2;2174169;2;2;1;1;8292664;1;0;1901;479;-1;43;1;66.02
1322746;1945;4;4;2;1;2;2174170;2;0;2;1;8292665;1;0;300;178;-1;0;-1;-1
1322746;1945;4;4;2;1;2;2174170;2;0;2;1;8292666;1;8;617;49;1914;19;6;22.92
1322746;1945;4;4;2;1;2;2174170;2;0;2;1;8292667;1;0;725;1175;-1;19;6;22.92
1322747;1945;5;3;2;3;1;2174171;2;2;1;1;8292668;1;0;300;196;-1;0;-1;-1
1322747;1945;5;3;2;3;1;2174171;2;2;1;1;8292669;1;1;847;325;2347;151;4;63.94
1322747;1945;5;3;2;3;1;2174171;2;2;1;1;8292670;1;0;1643;617;-1;151;4;63.94
1322747;1945;5;3;2;3;1;2174172;2;2;2;0;8292671;1;0;300;370;-1;0;-1;-1
1322747;1945;5;3;2;3;1;2174172;2;2;2;0;8292672;1;1;922;570;725;12;1;11.01
